Trackers

BMI
30/01/2020,22:39,57.6
30/01/2020,19:57,58
30/01/2020,18:11,57.6
30/01/2020,17:30,56.65
30/01/2020,07:39,56.65
29/01/2020,18:03,57.2
29/01/2020,16:03,56.9
29/01/2020,07:21,56.1
28/01/2020,19:22,57.85
28/01/2020,18:28,57.85
28/01/2020,16:26,58.05
28/01/2020,07:40,56.35
28/01/2020,00:04,57.25
27/01/2020,21:11,57.15
27/01/2020,07:31,55.7
26/01/2020,18:40,57.75
26/01/2020,00:29,56.5
25/01/2020,14:40,56.55
24/01/2020,17:00,56.4
23/01/2020,17:31,56.55
23/01/2020,08:00,56.45
22/01/2020,17:00,56.2
22/01/2020,07:35,54.9
21/01/2020,22:00,55.6
21/01/2020,18:15,55.55
21/01/2020,15:57,54.95
19/01/2020,21:28,55.75
19/01/2020,14:37,55.9
19/01/2020,12:42,55.6
18/01/2020,14:46,55.65
18/01/2020,12:39,54.5
17/01/2020,08:12,56.05
16/01/2020,16:53,56.35
15/01/2020,19:45,56.15
15/01/2020,07:26,55.75
14/01/2020,17:55,55.75
14/01/2020,07:22,55.35
13/01/2020,16:18,55.25
12/01/2020,21:16,57.6
11/01/2020,20:25,55.5
11/01/2020,13:42,54.75

